# BEAST v1.6.1, Build r3651
# Generated Thu Apr 21 17:38:40 NZST 2011 [seed=1303362947982]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	skyline
24000	-4473.294674728905	-96.68009861981622	-4376.614576109089	17.33379821178769	121.67148460628697	43.82814200531442	13.53787995155474	3.370574380481161	4.257544575001322	1.0	4.0	9.0	2.0	4.0	7.912901872226211	0.6054065713027705	0.5210530579657304	1.8735403707314977	0.0015372888286507719	-1234.9598906849017	-1195.8338844162352	-1945.8208010079522	-73.71945662904821
25000	-4465.436501730045	-89.26346949792712	-4376.173032232118	15.228839090502214	167.59800865043925	48.368504432940455	6.3429454013628925	1.456078349028845	3.7315182259723247	2.0	2.0	10.0	5.0	1.0	7.912901872226211	0.5008086608355085	0.5466274735079024	1.9525638656565878	0.0020358420829201165	-1235.0411553130805	-1194.1450007751844	-1946.9868761438536	-66.13046657232401
26000	-4464.794640924951	-95.07404321806715	-4369.720597706883	15.003125893259162	249.3851509928654	17.73439748957145	11.642543177021	6.704811176129446	1.6109977587618034	3.0	6.0	5.0	5.0	1.0	7.912901872226211	0.6528620246268435	0.5391525941029867	1.8079853812701685	0.0018226629880556664	-1235.9116747874248	-1187.765169358097	-1946.0437535613617	-71.68336313948232
27000	-4468.796707978599	-99.38802967358032	-4369.408678305019	19.07850649389545	310.29938641839686	11.509545739664818	12.927541888389747	9.745242388641604	6.4416457453565386	2.0	6.0	5.0	1.0	6.0	7.302419721559655	0.6416825554195911	0.5775173781148472	1.7808000664655605	0.0015181462782806869	-1233.0589685657737	-1191.240110637045	-1945.1095991022	-74.61572107560312
28000	-4471.64429591161	-98.19150119580577	-4373.452794715805	18.100287089179112	619.2051904504561	63.29665361439159	46.68070335626203	11.090682080616947	6.849138495833938	1.0	1.0	4.0	6.0	8.0	7.302419721559655	0.5652431051247708	0.7329936964145959	1.7017631984606325	0.0017777133976698146	-1235.0405627377786	-1199.938208960856	-1938.4740230171699	-69.79971789460313
29000	-4469.372648063439	-97.8144038957941	-4371.558244167644	16.295460759115432	670.0072223364839	49.192385761674615	47.94942694586099	14.112231632209692	7.297335016306937	1.0	3.0	2.0	4.0	10.0	8.943597487430784	0.5893290135435681	0.5070002140287904	1.9036707724276405	0.0019778196659851217	-1236.7501538542324	-1193.9254428638167	-1940.8826474495957	-68.74045149377666
30000	-4458.775088148676	-90.70099661295964	-4368.074091535716	17.251730918648434	136.44341275649202	74.66743417343562	15.682628595240486	11.786281179688933	4.963429243590709	1.0	1.0	4.0	5.0	9.0	8.943597487430784	0.6489720487645682	0.5546269518979855	1.7964009993374452	0.00205815375712581	-1236.8143321755651	-1194.1222178892504	-1937.1375414709007	-65.6198127754745
31000	-4454.42084632337	-84.81083377679981	-4369.61001254657	18.508493326986656	109.98315523584681	45.930181847972044	6.241854086449549	3.1769884513728126	4.73087117137457	1.0	1.0	1.0	7.0	10.0	8.943597487430784	0.6331767385428162	0.5704222621197375	1.7964009993374452	0.0019350379657577417	-1236.6182094580417	-1196.3064455164667	-1936.6853575720618	-62.257362404150946
32000	-4456.644746638018	-88.1896029401888	-4368.455143697829	15.930076717067703	66.34101566829405	103.29897376863198	7.88977773881149	5.7923973767050825	6.4233057987473705	2.0	1.0	2.0	1.0	14.0	8.943597487430784	0.5480301121887309	0.6354027124442942	1.816567175366974	0.0017734574134913965	-1237.4302669602635	-1194.540905420275	-1936.483971317291	-64.07680436065155
33000	-4464.183718593735	-89.3558766512783	-4374.827841942457	15.451984398416737	152.56418822713937	88.65434671438271	10.371797752724692	8.199382917915894	5.66905284056872	1.0	2.0	7.0	1.0	9.0	9.193771751937234	0.637148795828887	0.6183512652212259	1.744499938949886	0.002005192563556715	-1235.6513097329669	-1193.5734904432325	-1945.6030417662578	-64.35703241261355
34000	-4462.774868309468	-95.84420954195241	-4366.9306587675155	17.45190321817074	246.33675746683025	63.90678637707379	6.652547059425788	17.421873457387182	13.915092356926673	1.0	2.0	4.0	1.0	12.0	9.193771751937234	0.5572494031272438	0.5615096156521522	1.8812409812206028	0.001819273371425869	-1232.8786909171959	-1195.5292286742454	-1938.5227391760745	-68.30384460512835
